id,name,KM 1,Precio 1,Precio 1 descuento,KM 2,Precio 2,Precios 2 descuneto,KM 3,Precio 3,Precios 3 descuneto,KM 4,Precio 4,stock,category,Destacadas,Image 1,Image 2,Image 3
0754,KONGO GATO ADULTO PESCADO ,8KG,30000,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/bwMDFwXC/KONGO-GATO-ADULTO-PESCADO-8KG.webp,,
5526,MASGOOD GATO ADULTO ESENCIAL ,10KG,20200,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/g0tWKnf2/MASGOOD-GATO-ADULTO-ESENCIAL-10KG.png,,
5524,MASGOOD GATO ADULTO PREMIUN ,8KG,20500,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/L8hv15B8/MASGOOD-GATO-ADULTO-PREMIUN-8KG.webp,,
5528,MASGOOD PERRO ADULTO ESENCIAL MED/GR ,15KG,23300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/dtfNnG0b/MASGOOD-PERRO-ADULTO-ESENCIAL-MEDIANO-GRANDE-15KG.png,,
5520,MASGOOD PERRO ADULTO PREMIUN MED/GR ,20KG,41100,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/nz0CB4JP/MASGOOD-PERRO-ADULTO-PREMIUN-MEDIANO-GRANDE.jpg,,
5102,CAN FEED ADULTO SUPER PREMIUN,20KG,87300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/sDHQZprL/CAN-FEED-ADULTO-SUPER-PREMIUN-20KG.webp,,
5428,KEN/L ADULTO ,15 + 3KG,47000,,3KG,11700,,"7,5KG",25800,,,,3,PERRO,FALSE,https://i.postimg.cc/52wXKDzr/KEN-L-ADULTO-18KG.webp,,
5432,KEN/L CACHORRO ,15 + 3KG,54000,,3KG,11500,,"7,5KG",27300,,,,3,PERRO,FALSE,https://i.postimg.cc/vHWMbFvr/KEN-L-CACHORRO-15-3KG.webp,,
5424,KEN/L ADULTO RAZA PEQUEÑA ,"7,5KG",27700,,3KG,12500,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/QCd5sk2x/KEN-L-ADULTO-RAZA-PEQUENA-7-5KG.webp,,
5420,KEN/L CACHORRO RAZA PEQUEÑA ,"7,5KG",29500,,3KG,13000,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/N0xkcMKp/KEN-L-CACHORRO-RAZA-PEQUENA-7-5KG.webp,,
,KEN/L ADULTO LIGHT ,15KG,54000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/bYsCtr2n/KEN-L-ADULTO-LGHT-15KG.webp,,
5412,KEN/L GATITO ,"7,5KG",44500,,1.5KG,11700,,,,,,,3,GATO,FALSE,https://i.postimg.cc/V6KydmVF/KEN-L-GATITO.webp,,
5416,KEN/L GATO ADULTO ,"7,5KG",42100,,1.5KG,11100,,,,,,,3,GATO,FALSE,https://i.postimg.cc/x16FvtRv/KEN-L-GATO-ADULTO.webp,,
3300,GRAN CAMPEON ADULTO CARNE ,21+3KG,39300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/QCtf0CT3/GRAN-CAMPEON-ADULTO-CARNE-21-3KG.webp,,
3302,GRAN CAMPEON TRADICIONAL ,21+3KG,39300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/43PvqZZP/GRAN-CAMPEON-TRADICIONAL-21-3KG.webp,,
0234,AGILITY ADULTO RAZA PEQUEÑA ,15KG,69100,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/4x3TRK2P/AGILITY-ADULTO-RAZA-PEQUENA-15KG.webp,,
0236,AGILITY ADULTO CORDERO ,15KG,71400,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/15jv4f5v/AGILITY-ADULTO-CORDERO-15KG.webp,https://i.postimg.cc/ry9GtTqn/AGILITY-TABLA-NUTRICIONAL-ADULTO-CORDERO.jpg,
0230,AGILITY GATO KITTEN ,"1,5KG",16200,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/CK31KCWg/AGILITY-GATO-KITTEN-1-5KG.webp,https://i.postimg.cc/kgQp2Zh4/AGILTY-TABLA-NUTRICIONAL-KITENN.jpg,
